id,zip
5,92081
24,92101
48,92014
49,92121
50,92075
75,92129
104,92054
150,92020
152,92054
156,92011
180,92113
236,92130
237,92121
238,92130
253,92104
274,92104
289,92154
296,92107
324,92120
344,92154
345,92110
410,92011
419,92114
434,92110
467,92122
473,92129
483,92117
487,92056
497,92110
502,91945
504,91945
522,92107
536,92118
543,92118
561,92064
572,92067
574,92008
576,91910
601,92115
608,92110
611,92054
619,92130
625,92104
627,92104
641,92014
649,92116
681,92127
699,92027
713,92113
718,92108
736,92101
737,92037
755,92104
799,92081
825,92009
836,92011
876,92123
885,92103
891,92101
923,92037
971,92101
985,91910
991,91910
1016,92101
1023,91977
1024,91942
1041,92109
1042,91911
1043,92110
1049,92109
1051,92101
1063,92154
1073,92078
1076,92011
1088,92113
1125,92129
1152,92111
1153,91977
1155,92105
1172,92071
1176,92078
1180,92102
1185,92026
1191,91945
1208,92071
1223,92101
1230,92131
1236,92064
1239,92128
1265,92106
1274,92081
1324,92108
1325,92120
1327,92115
1332,92104
1342,92115
1343,92116
1357,92103
1358,92126
1364,92008
1367,92101
1373,92024
1403,92173
1406,92025
1408,92154
1415,92110
1428,92117
1475,92113
1491,92064
1525,92010
1536,92154
1555,92104
1567,91950
1579,92123
1581,92024
1591,92025
1600,92105
1605,92024
1637,92027
1641,92011
1642,92020
1646,92014
1652,92104
1676,92025
1696,91910
1733,92107
1745,92101
1788,92113
1842,92071
1903,92101
1906,92008
1995,92102
2003,92111
2008,92101
2010,92108
2016,92128
2017,92064
2027,92101
2039,92071
2042,92106
2054,92054
2059,92105
2077,92103
2080,91942
2098,92101
2104,92110
2114,92071
2118,92026
2132,92037
2136,92131
2174,91914
2176,92115
2194,92120
2213,92108
2238,92124
2259,92011
2263,92122
2267,92127
2283,92078
2291,92104
2319,92037
2328,92103
2349,92107
2369,92106
2374,92101
2390,92109
2396,92008
2399,92029
2493,92105
2495,92054
2520,92127
2531,91945
2537,92056
2614,92108
2621,92008
2622,92104
2624,92101
2631,92108
2648,92101
2654,92110
2686,92020
2692,92126
2697,92101
2707,92101
2708,92103
2709,92024
2710,92081
2724,92128
2725,92154
2728,92056
2733,92109
2739,91942
2740,92101
2749,92108
2751,92113
2755,92113
2757,91950
2758,92104
2761,92118
2782,92106
2783,92103
2791,92101
2837,91942
2840,92123
2854,92008
2855,91911
2860,92071
2879,92131
2909,92127
2958,92118
3001,91910
3023,92056
3042,92101
3047,92128
3068,92111
3070,92118
3080,92110
3081,92101
3082,92111
3083,92124
3088,92106
3147,92110
3161,91914
3166,92037
3174,92121
3181,92008
3189,92020
3196,92029
3198,92126
3199,92026
3200,92054
3212,92154
3224,92075
3244,92108
3250,92109
3257,92103
3261,92128
3262,92129
3263,92115
3265,92109
3266,92110
3280,92131
3283,92121
3285,92081
3290,92101
3315,92037
3356,92026
3372,92014
3377,92078
3378,92020
3409,92104
3428,92104
3444,91932
3449,92101
3451,92109
3454,92120
3473,92064
3475,92025
3489,92037
3505,92104
3517,91932
3520,92101
3521,92109
3527,92120
3528,92120
3547,92064
3549,92025
3552,92071
3557,92054
3588,92106
3602,92078
3605,92020
3632,92121
3643,92103
3644,91977
3647,92020
3664,92103
3668,92078
3672,92101
3687,92113
3692,92108
3714,92020
3720,92102
3742,92056
3749,92109
3791,92106
3795,92106
3799,92121
3806,92115
3808,91915
3815,92071
3845,92108
3851,92110
3864,92123
3874,92108
3877,91910
3878,92014
3916,92065
3922,92037
3931,92025
3941,92120
3945,92105
3966,92101
3968,92128
3971,92024
3977,92064
3982,92101
3985,92115
3995,92025
4017,92020
4019,92024
4042,92103
4052,92101
4054,92071
4056,92121
4057,92110
4087,92104
4098,92122
4105,92123
4128,92104
4151,92122
4183,92037
