geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730054032,54032,6279841.03054988,1839705.2361166014,177019,222834,24.2,1333,105.0,324.0,4890.0
060730055001,55001,6285850.6683044145,1844439.7438759718,0,0,0.0,373,35.0,6085.0,674.0
060730056011,56011,6280670.364605278,1843761.9413908345,124555,169685,30.9,1177,151.0,749.0,899.0
060730056012,56012,6281078.182369793,1843255.9434753538,48099,93335,49.4,1729,109.0,572.0,2978.0
060730056021,56021,6282418.066787994,1843307.95438751,82273,109100,37.6,1043,47.0,151.0,1460.0
060730056022,56022,6285993.508636454,1846893.1149226122,91959,129024,31.4,1358,162.0,1856.0,4270.0
060730057001,57001,6281469.132667085,1844901.8274585744,58246,75043,37.8,697,102.0,696.0,1644.0
060730057002,57002,6280528.819411678,1844905.521190292,50911,75346,45.8,895,206.0,1024.0,337.0
060730058011,58011,6278582.407810691,1845381.2290475324,118320,159900,32.1,857,212.0,475.0,15532.0
060730058012,58012,6279406.516871187,1845112.187207312,100243,130665,36.2,1069,163.0,327.0,28908.0
060730058021,58021,6277992.11809271,1844612.1772869306,118298,154334,28.0,1540,227.0,556.0,10164.0
060730058022,58022,6279512.207899622,1843515.1673723932,123575,153498,26.7,1313,156.0,340.0,7296.0
060730059001,59001,6281438.048487574,1846357.3009882,85702,123952,34.2,1333,257.0,717.0,8031.0
060730059002,59002,6280463.147727514,1846358.156566963,69955,94143,39.1,1117,87.0,209.0,2705.0
060730059003,59003,6279502.469974207,1846429.257304584,89487,126915,37.6,746,23.0,75.0,0.0
060730060001,60001,6281315.401419163,1849822.1388698353,109062,150403,30.4,1242,227.0,812.0,1853.0
060730060002,60002,6281308.421685403,1848362.419030666,91469,118326,37.5,1262,204.0,791.0,14832.0
060730060003,60003,6279864.817891009,1848695.2225668197,167316,251940,22.8,2160,162.0,625.0,7690.0
060730061001,61001,6277788.094898446,1849789.9997888452,132806,167737,28.2,1666,71.0,104.0,1021.0
060730061002,61002,6277443.311948925,1848182.262121991,81667,131352,41.5,651,150.0,499.0,685.0
060730062001,62001,6271966.572537704,1847360.692344507,94855,133344,39.7,165,171.0,1796.0,43483.0
060730063001,63001,6270405.861490975,1850521.4312508905,62934,75516,29.6,2125,21.0,48.0,842.0
060730065001,65001,6266853.388388987,1855488.0692441778,39705,57034,42.5,1190,703.0,2733.0,68759.0
060730065002,65002,6270862.080806118,1855710.4779882024,100000,154533,36.3,972,500.0,2342.0,40325.0
060730065003,65003,6272690.340434958,1852245.117099283,115971,142235,29.5,1153,272.0,906.0,15485.0
060730066001,66001,6266776.448455498,1852061.1243871276,58096,79057,40.6,1162,97.0,240.0,555.0
060730066002,66002,6268215.499703839,1852639.9323808406,56642,66646,37.0,673,69.0,147.0,10107.0
060730068011,68011,6261728.543997744,1855948.0814393659,100387,100617,27.5,1411,103.0,182.0,5112.0
060730068012,68012,6259477.086695135,1855671.788260924,67193,78714,36.6,1340,11.0,16.0,0.0
060730068021,68021,6265826.685203664,1853508.133471244,85435,102971,35.0,1938,214.0,1016.0,13590.0
060730068022,68022,6263568.849942228,1854737.8798312112,67285,98604,42.0,1802,127.0,293.0,6174.0
060730068023,68023,6261457.403809628,1854316.1377279495,100973,114478,25.9,1881,71.0,58.0,1629.0
060730069001,69001,6262789.609962561,1852670.119575633,102635,140054,30.9,2665,59.0,45.0,1707.0
060730069002,69002,6261396.375376478,1850190.4852715724,165721,197168,23.0,1088,62.0,363.0,2133.0
060730069003,69003,6263729.408093343,1850779.9390174237,200001,254119,19.6,1621,31.0,170.0,225.0
060730070021,70021,6258667.61845815,1849212.9257188626,167623,217840,22.3,1609,27.0,36.0,0.0
060730070022,70022,6258487.27542904,1846668.4533817621,179964,232760,24.3,1517,40.0,167.0,0.0
060730071001,71001,6257791.60208819,1841216.8990594782,118018,181972,36.4,1570,39.0,92.0,337.0
